1	2171	1	3	29
1	857	2	3	20
1	2135	1	1	16
1	1228	3	3	16
1	498	3	3	24
1	2247	2	3	13
1	460	1	3	6
1	1823	3	2	13
1	614	2	1	1
1	245	2	3	17
1	1844	3	1	3
1	1636	1	1	9
1	2210	2	2	16
1	662	2	2	19
1	1016	1	3	13
1	2030	1	1	3
1	1961	1	1	1
1	1766	3	3	6
1	1536	1	3	4
1	1076	1	1	28
1	159	3	3	17
1	2490	1	3	4
1	822	2	3	5
1	669	2	3	13
1	1303	2	1	6
1	1409	3	3	27
1	274	2	2	19
1	2165	1	1	25
1	2177	1	2	5
1	1234	3	2	10
1	1752	1	1	27
1	1813	3	3	29
1	2395	1	2	26
1	1772	3	3	6
1	1614	3	1	28
1	1829	2	1	28
1	1402	1	3	27
1	1940	2	3	2
1	1812	2	3	24
1	646	2	2	1
1	945	2	3	3
1	598	1	1	2
1	118	2	1	24
1	2133	2	1	11
1	107	2	1	11
1	1191	1	2	16
1	1684	3	2	27
1	1171	1	1	19
1	1101	1	2	2
1	1221	1	3	24
1	259	2	1	24
1	1743	1	1	2
1	2261	3	3	14
1	2067	3	3	10
1	561	3	2	20
1	1141	3	2	4
1	602	2	1	19
1	1719	1	2	24
1	916	2	3	24
1	312	3	2	7
1	942	3	2	26
1	1773	2	3	10
1	343	1	2	27
1	215	1	2	20
1	1910	3	3	19
1	2298	3	3	27
1	1871	1	3	12
1	147	2	1	7
1	403	2	3	7
1	1992	1	2	4
1	1293	3	2	4
1	472	1	1	2
1	2357	2	3	19
1	1904	3	1	5
1	2338	3	3	3
1	856	3	2	4
1	1801	3	2	18
1	964	1	2	20
1	1345	3	1	22
1	145	2	2	18
1	1623	2	2	21
1	1870	2	1	5
1	141	1	1	3
1	2253	2	2	25
1	1307	2	1	6
1	1794	1	1	5
1	2349	2	1	14
1	271	2	1	3
1	2421	1	2	2
1	293	1	1	24
1	1144	1	3	15
1	216	3	3	10
1	1768	2	1	4
1	2312	2	1	9
1	574	2	3	21
1	1600	2	2	7
1	2414	2	2	13
1	978	2	1	24
1	1943	3	3	17
1	617	2	3	24
1	1825	3	3	21
1	2361	1	2	28
1	1946	2	2	18
1	1847	3	3	6
1	2282	3	2	30
1	1451	3	2	21
1	2135	1	3	11
1	1563	3	3	28
1	1651	3	3	30
1	658	3	1	26
1	266	2	3	4
1	1722	3	2	29
1	467	1	2	11
1	1352	1	1	3
1	1132	1	1	28
1	399	2	2	8
1	144	3	2	15
1	731	3	1	25
1	2188	1	1	4
1	1295	3	1	18
1	1369	1	1	24
1	783	2	2	21
1	1445	3	2	3
1	2330	2	2	23
1	2333	3	2	13
1	540	2	3	8
1	1665	1	1	5
1	1745	3	2	22
1	2239	1	3	29
1	1890	2	1	19
1	2415	1	3	2
1	960	3	3	16
1	167	1	1	11
1	229	1	3	27
1	2298	1	1	29
1	1106	1	2	21
1	1444	1	3	14
1	1252	1	3	30
1	1927	1	3	28
1	1177	3	2	25
1	1178	1	3	23
1	2268	3	1	27
1	731	1	3	25
1	2350	3	1	29
1	2234	2	2	5
1	304	1	1	27
1	1691	1	3	16
1	2248	3	2	19
1	2272	2	2	28
1	1395	3	3	25
1	1453	1	2	12
1	1151	2	2	18
1	1250	3	2	23
1	350	3	3	7
1	1364	3	2	16
1	2314	3	1	27
1	442	2	2	17
1	2112	2	3	23
1	643	3	2	29
1	2124	1	1	30
1	485	2	2	7
1	859	2	2	21
1	968	1	2	23
1	252	1	1	25
1	1938	3	1	16
1	1205	3	3	23
1	1455	2	3	22
1	1757	3	3	27
1	1902	3	3	10
1	789	1	1	7
1	1937	3	2	8
1	967	3	1	17
1	1775	1	2	23
1	235	3	2	1
1	1946	3	1	11
1	1039	1	3	4
1	529	3	3	3
1	442	2	2	22
1	382	3	1	6
1	733	1	3	30
1	760	2	1	5
1	2314	3	2	11
1	1931	1	3	7
1	1575	2	2	24
1	760	3	2	2
1	1555	3	1	29
1	901	3	1	1
1	991	3	2	9
1	2436	1	3	24
1	2116	3	3	18
1	994	1	3	16
1	1225	1	1	10
1	152	2	1	23
1	2207	1	1	17
1	1204	1	2	15
1	1944	2	2	11
1	1536	3	1	17
1	252	1	3	26
1	2114	1	3	18
1	1102	1	2	16
1	1152	2	1	1
1	2056	2	3	28
1	526	1	3	21
1	690	3	3	4
1	2349	2	2	14
1	2019	1	3	23
1	1520	1	2	27
1	1487	3	2	28
1	688	3	2	5
1	1005	3	1	10
1	558	3	1	20
1	2451	2	2	21
1	1238	1	1	30
1	1090	3	2	4
1	1014	3	1	19
1	1988	3	2	3
1	449	3	2	25
1	630	2	1	23
1	505	1	3	25
1	2281	1	3	12
1	1792	1	2	23
1	1339	3	2	17
1	1313	2	2	24
1	2086	2	1	12
1	676	1	3	24
1	1171	3	2	10
1	709	3	3	27
1	435	3	2	2
1	1622	3	2	10
1	1279	3	2	1
1	1656	1	1	12
1	2396	2	3	6
1	710	3	3	11
1	205	1	3	13
1	472	2	2	19
1	420	3	1	4
1	1860	2	2	30
1	432	1	3	7
1	713	3	3	26
1	1365	3	2	3
1	1613	1	2	20
1	527	1	3	16
1	1749	2	1	18
1	1861	3	3	30
1	2439	2	3	22
1	484	1	3	18
1	1933	3	1	18
1	1445	1	1	25
1	1201	1	1	12
1	2092	1	2	29
1	339	2	3	21
1	2208	1	3	4
1	1663	2	2	8
1	336	3	2	5
1	2111	1	3	19
1	2334	3	1	13
1	1095	2	2	7
1	947	1	2	3
1	1186	2	3	8
1	1220	2	1	19
1	881	2	1	16
1	1352	3	3	20
1	2124	1	2	16
1	1078	3	3	25
1	338	3	2	10
1	580	1	1	19
1	1270	2	1	2
1	2198	2	3	25
1	2022	2	2	18
1	301	3	3	16
1	1032	1	3	24
1	449	2	2	26
1	261	1	2	8
1	2285	3	2	21
1	1771	1	3	3
1	1672	3	1	28
1	1581	3	2	8
1	2327	1	2	12
1	1329	3	2	2
1	646	3	1	12
1	2360	3	1	2
1	285	2	3	7
1	1194	3	3	17
1	1647	2	1	15
1	173	2	1	6
1	2281	1	2	2
1	370	1	2	21
1	364	3	1	10
1	1353	3	2	14
1	2270	2	2	23
1	472	3	3	20
1	834	1	1	27
1	1352	2	2	24
1	1653	3	2	28
1	811	2	1	11
1	959	1	3	15
1	844	1	1	18
1	2152	2	2	30
1	2377	1	2	21
1	268	2	1	21
1	835	1	1	8
1	2404	1	3	30
1	878	1	1	23
1	2363	3	1	19
1	781	1	3	8
1	757	1	1	21
1	1988	2	2	5
1	1423	3	3	14
1	612	2	2	4
1	1239	2	3	7
1	2206	1	3	28
1	667	3	3	30
1	2128	2	1	8
1	298	1	2	28
1	2291	2	1	25
1	373	3	1	1
1	332	2	3	21
1	668	1	2	11
1	2241	3	1	7
1	302	2	2	26
1	1844	2	1	10
1	2118	2	2	28
1	2137	2	2	19
1	2252	3	2	26
1	2262	3	3	16
1	1956	3	3	24
1	1150	3	1	15
1	727	3	2	18
1	1894	2	1	9
1	1815	2	2	23
1	1749	2	1	4
1	312	2	3	8
1	1231	3	3	15
1	641	1	3	8
1	1340	1	3	18
1	1342	3	3	27
1	257	1	3	3
1	2442	1	1	27
1	354	3	3	11
1	825	2	3	9
1	718	1	2	30
1	1936	1	1	17
1	862	2	2	16
1	488	2	3	25
1	1188	1	3	27
1	2020	3	3	7
1	814	2	3	7
1	1630	2	2	1
1	696	3	2	5
1	780	3	3	2
1	2219	1	3	19
1	1249	3	2	5
1	759	2	1	20
1	154	1	2	25
1	1627	2	2	16
1	718	1	2	9
1	1709	2	2	9
1	689	1	2	11
1	2333	2	2	3
1	873	1	2	4
1	1675	2	2	11
1	2086	1	2	9
